STATION,NAME,DATE,CDSD,DSND,DSNW,EMNT,EMSD,EMSN,EMXP,EMXT,HDSD,PRCP,SNOW,TAVG,TMAX,TMIN
USC00454486,"LANDSBURG, WA US",1903-04,,,1,,,28,20.3,,,130.6,38,,,
USC00454486,"LANDSBURG, WA US",1904-06,,,,,,,21.6,,,52.1,,,,
USC00454486,"LANDSBURG, WA US",1905-07,,,,,,,10.7,,,18.3,,,,
USC00454486,"LANDSBURG, WA US",1906-03,,,,,,,38.4,,,81.8,,,,
USC00454486,"LANDSBURG, WA US",1906-04,,,0,,,0,10.9,,,38.8,0,,,
USC00454486,"LANDSBURG, WA US",1906-05,,,,,,,23.9,,,105.3,,,,
USC00454486,"LANDSBURG, WA US",1906-06,,,,,,,16.8,,,134.4,,,,
USC00454486,"LANDSBURG, WA US",1906-07,,,,,,,4.6,,,4.6,,,,
USC00454486,"LANDSBURG, WA US",1906-08,,,,,,,1.8,,,2.6,,,,
USC00454486,"LANDSBURG, WA US",1906-09,,,,,,,23.9,,,116.3,,,,
USC00454486,"LANDSBURG, WA US",1906-10,,,,,,,24.1,,,156.6,,,,
USC00454486,"LANDSBURG, WA US",1906-11,,,,,,,61.5,,,238.7,,,,
USC00454486,"LANDSBURG, WA US",1906-12,,,1,,,71,43.7,,,217.4,84,,,
USC00454486,"LANDSBURG, WA US",1907-01,,,4,,,91,26.7,,,118.1,286,,,
USC00454486,"LANDSBURG, WA US",1907-02,,,1,,,91,32,,,159.5,91,,,
USC00454486,"LANDSBURG, WA US",1907-03,,,0,,,23,9.9,,,53.1,38,,,
USC00454486,"LANDSBURG, WA US",1907-04,,,,,,,25.1,,,88.3,,,,
USC00454486,"LANDSBURG, WA US",1907-05,,,,,,,10.9,,,23.6,,,,
USC00454486,"LANDSBURG, WA US",1907-06,,,,,,,20.1,,,44.2,,,,
USC00454486,"LANDSBURG, WA US",1907-07,,,,,,,16,,,30.7,,,,
USC00454486,"LANDSBURG, WA US",1907-08,,,,,,,41.9,,,80.7,,,,
USC00454486,"LANDSBURG, WA US",1907-09,,,0,,,0,30.2,,,111.6,0,,,
USC00454486,"LANDSBURG, WA US",1907-10,,,,,,,14,,,35,,,,
USC00454486,"LANDSBURG, WA US",1907-11,,,,,,,24.1,,,184.4,,,,
USC00454486,"LANDSBURG, WA US",1907-12,,,2,,,173,23.6,,,181.3,282,,,
USC00454486,"LANDSBURG, WA US",1908-01,,,,,,,16.5,,,128.8,,,,
USC00454486,"LANDSBURG, WA US",1908-02,,,,,,,25.4,,,145.8,,,,
USC00454486,"LANDSBURG, WA US",1908-03,,,0,,,23,46,,,169.5,23,,,
USC00454486,"LANDSBURG, WA US",1908-04,,,0,,,0,27.2,,,92.8,0,,,
USC00454486,"LANDSBURG, WA US",1908-05,,,,,,,25.4,,,157.7,,,,
USC00454486,"LANDSBURG, WA US",1908-06,,,,,,,19.1,,,60.2,,,,
USC00454486,"LANDSBURG, WA US",1908-07,,,,,,,16.8,,,25.4,,,,
USC00454486,"LANDSBURG, WA US",1908-08,,,,,,,33.5,,,77.4,,,,
USC00454486,"LANDSBURG, WA US",1908-09,,,,,,,5.6,,,12.2,,,,
USC00454486,"LANDSBURG, WA US",1908-10,,,,,,,23.4,,,145.6,,,,
USC00454486,"LANDSBURG, WA US",1908-11,,,,,,,37.6,,,153.1,,,,
USC00454486,"LANDSBURG, WA US",1908-12,,,,,,,29.2,,,184.7,,,,
USC00454486,"LANDSBURG, WA US",1909-01,,,5,,,74,29.2,,,171.8,261,,,
USC00454486,"LANDSBURG, WA US",1909-02,,,1,,,48,21.3,,,157.2,54,,,
USC00454486,"LANDSBURG, WA US",1909-03,,,,,,,15.5,,,78,,,,
USC00454486,"LANDSBURG, WA US",1909-04,,,0,,,0,15.5,,,64,0,,,
